t,length,area,labels.distribution.amount,labels.distribution.length,labels.distribution.area,labels.transmission.amount,labels.transmission.length,labels.transmission.area,labels.transmission_overhead.amount,labels.transmission_overhead.length,labels.transmission_overhead.area,Country,growth_percent,growth_km
2025-11-13T00:00:00Z,14261.0162984607,0,2165,1541938.91797958,0,2431,12738.5167169231,0,2345,12436.5981336626,0,New Zealand,0.0820035733855248,1080.8229522975
2025-11-13T00:00:00Z,2521.40219582665,0,,,,212,2521.40219582665,0,212,2521.40219582665,0,Nicaragua,0.0990002480245901,227.13319965602
2025-11-13T00:00:00Z,1078.1135748746,0,,,,32,1078.1135748746,0,32,1078.1135748746,0,Niger,0.0202668253427426,21.4159070734102
2025-11-13T00:00:00Z,13679.4833465295,0,54,38211.4137634632,0,509,13641.2719327661,0,509,13641.2719327661,0,Nigeria,0.0457670788001379,598.6705882768
2025-11-13T00:00:00Z,2538.81955215489,0,,,,312,2538.81955215489,0,311,2538.07010859427,0,North Korea,0.164720910612019,359.05311281035
2025-11-13T00:00:00Z,2354.57219691827,0,1,22331.1223568053,0,267,2324.72070790579,0,265,2322.37973947991,0,North Macedonia,0.260615985845,486.77722735029
2025-11-13T00:00:00Z,9940.72789699428,0,,,,768,9934.5275313344,0,670,9881.86330665188,0,Oman,0.00373417175425311,36.9822871177094
2025-11-13T00:00:00Z,35121.5043706799,0,11,154834.164917267,0,1632,34966.6702057626,0,1632,34966.6702057626,0,Pakistan,0.0474017454678936,1589.4766433531
2025-11-13T00:00:00Z,2133.46839166324,0,,,,125,2133.46839166324,0,125,2133.46839166324,0,Panama,-0.00234161205830323,-5.00748088956016
2025-11-13T00:00:00Z,751.558640974756,0,1,26432.6027020941,0,60,725.126038272662,0,60,725.126038272662,0,Papua New Guinea,0,0
2025-11-13T00:00:00Z,4561.49997750636,0,18,419.485486880454,0,316,4561.08049201948,0,300,4559.55213175609,0,Paraguay,-4.69920270225877e-06,-0.0214355137504754
2025-11-13T00:00:00Z,857730.538725582,0,8229,7150325.4775571,0,126992,850728.051233219,0,125909,849433.000009205,0,People's Republic of China,0.111820986409302,86265.933172778
2025-11-13T00:00:00Z,18107.7584463587,0,9,89133.5987801249,0,568,18018.6248475786,0,568,18018.6248475786,0,Peru,0.0043092828444521,77.6966360436018
2025-11-13T00:00:00Z,14570.6710279957,0,223,238495.731213168,0,2764,14334.7172835477,0,2700,14063.5125950058,0,Philippines,0.0491504570688959,682.604802772801
2025-11-13T00:00:00Z,48111.5923902394,0,18435,4980717.9002849,0,16870,43359.988474911,0,15491,41428.4450601787,0,Poland,0.0520786377490376,2381.557900445
2025-11-13T00:00:00Z,18567.7010601218,0,1726,475772.756776703,0,6346,18113.3987402361,0,5788,17742.001935102,0,Portugal,0.0490837690973674,868.732105433399
2025-11-13T00:00:00Z,1126.41362263311,0,12,647.728708713966,0,206,1125.76589392439,0,137,1012.99822345069,0,Qatar,0.00365027448965336,4.09676459620005
2025-11-13T00:00:00Z,8331.35645914591,0,1720,770111.215377996,0,2127,7570.96116879104,0,1713,6776.39320261196,0,Republic of Ireland,0.0336540601040489,271.25513442682
2025-11-13T00:00:00Z,1598.34418727427,0,,,,44,1598.34418727427,0,44,1598.34418727427,0,Republic of the Congo,0.00102343788506205,1.6341335604302
2025-11-13T00:00:00Z,25011.7398723137,0,50,103300.302347991,0,2172,24912.0244973846,0,2166,24908.4348616172,0,Romania,0.0232276537590173,567.775930928401
2025-11-13T00:00:00Z,495747.829366466,0,25992,121569159.954368,0,46116,375421.481561902,0,45327,374537.25820058,0,Russia,0.0555418157952631,26085.877610475
2025-11-13T00:00:00Z,1280.68678253927,0,,,,65,1280.68678253927,0,65,1280.68678253927,0,Rwanda,0.0546759179662106,66.3926465653601
2025-11-13T00:00:00Z,37.5646011341957,0,,,,4,37.5646011341957,0,4,37.5646011341957,0,San Marino,-1.59996588699191e-07,-6.01020899893001e-06
2025-11-13T00:00:00Z,51095.5986616329,0,52,1174868.50353317,0,2857,49870.8740033761,0,2704,49780.69788346,0,Saudi Arabia,0.0163183366690742,820.4074955502
2025-11-13T00:00:00Z,2981.9587978533,0,,,,79,2981.9587978533,0,79,2981.9587978533,0,Senegal,-0.0315238210667267,-97.0625169897498
