t,amount_1d,amount_30d,labels.distribution.amount_1d,labels.distribution.amount_30d,labels.generation.amount_1d,labels.generation.amount_30d,labels.industrial.amount_1d,labels.industrial.amount_30d,labels.transmission.amount_1d,labels.transmission.amount_30d,id_relation,Pays
2025-10-02T00:00:00.000Z,0,8,0,2,,,,,0,5,/boundary/286393,Argentina
2025-10-03T00:00:00.000Z,0,8,0,2,,,,,0,5,/boundary/286393,Argentina
2025-10-04T00:00:00.000Z,1,9,0,2,,,,,0,5,/boundary/286393,Argentina
2025-10-05T00:00:00.000Z,0,9,0,2,,,,,0,5,/boundary/286393,Argentina
2025-10-06T00:00:00.000Z,0,9,0,2,,,,,0,5,/boundary/286393,Argentina
2025-10-07T00:00:00.000Z,0,9,0,2,,,,,0,5,/boundary/286393,Argentina
2025-10-08T00:00:00.000Z,2,10,1,2,,,,,2,7,/boundary/286393,Argentina
2025-10-09T00:00:00.000Z,0,10,0,2,,,,,0,7,/boundary/286393,Argentina
2025-10-10T00:00:00.000Z,1,9,0,2,,,,,0,6,/boundary/286393,Argentina
2025-10-11T00:00:00.000Z,1,9,0,2,,,,,0,6,/boundary/286393,Argentina
2025-10-12T00:00:00.000Z,1,9,0,2,,,,,0,6,/boundary/286393,Argentina
2025-10-13T00:00:00.000Z,1,9,0,2,,,,,1,6,/boundary/286393,Argentina
2025-10-14T00:00:00.000Z,0,9,0,2,,,,,0,6,/boundary/286393,Argentina
2025-10-15T00:00:00.000Z,1,9,0,2,,,,,0,6,/boundary/286393,Argentina
2025-10-16T00:00:00.000Z,0,9,0,2,,,,,0,6,/boundary/286393,Argentina
2025-10-17T00:00:00.000Z,2,9,0,2,,,,,0,6,/boundary/286393,Argentina
2025-10-18T00:00:00.000Z,0,9,0,2,,,,,0,6,/boundary/286393,Argentina
2025-10-19T00:00:00.000Z,0,9,0,1,,,,,0,6,/boundary/286393,Argentina
2025-10-20T00:00:00.000Z,1,9,0,1,,,,,0,6,/boundary/286393,Argentina
2025-10-21T00:00:00.000Z,0,9,0,1,,,,,0,6,/boundary/286393,Argentina
2025-10-22T00:00:00.000Z,0,9,0,1,,,,,0,6,/boundary/286393,Argentina
2025-10-23T00:00:00.000Z,0,9,0,1,,,,,0,6,/boundary/286393,Argentina
2025-10-24T00:00:00.000Z,0,9,0,1,,,,,0,6,/boundary/286393,Argentina
2025-10-25T00:00:00.000Z,0,9,0,1,,,,,0,6,/boundary/286393,Argentina
2025-10-26T00:00:00.000Z,0,7,0,1,,,,,0,4,/boundary/286393,Argentina
